Var1,ASP14_i10_plus_midhigh
r1765,1.0515
r1766,1.0515
r1767,1.0515
r1768,1.0515
r1769,1.0515
r1770,1.0515
r1771,1.0515
r1772,1.0515
r1773,1.0515
r1774,1.0515
r1775,1.0515
r1776,1.0515
r1777,1.0515
r1778,1.0515
r1779,1.0515
r1780,1.0515
r1781,1.0515
r1782,1.0515
r1783,1.0515
r1784,1.0515
r1785,1.0515
r1786,1.0515
r1787,1.0515
r1788,1.0515
r1789,1.0515
r1790,1.0515
r1791,1.0515
r1792,1.0515
r1796,1.0515
r1797,1.0515
r1798,1.0515
r1799,1.0515
r1800,1.0515
r1801,1.0515
r1803,1.0515
r1805,1.0515
r1806,1.0515
r1807,1.0515
r1808,1.0515
r1809,1.0515
r1810,1.0515
r1811,1.0515
r1812,1.0515
r1813,1.0515
r1814,1.0515
r1815,1.0515
r1816,1.0515
r1817,1.0515
r1818,1.0515
r1819,1.0515
r1820,1.0515
r1821,1.0515
r1822,1.0515
r1823,1.0515
r1824,1.0515
r1825,1.0515
r1826,1.0515
r1827,1.0515
r1828,1.0515
r1829,1.0515
r1830,1.0515
r1831,1.0515
r1832,1.0515
r1833,1.0515
r1834,1.0515
r1835,1.0515
r1836,1.0515
r1837,1.0515
r1841,1.0515
r1842,1.0515
r1843,1.0515
r1844,1.0515
r1846,1.0515
r1847,1.0515
r1848,1.0515
r1850,1.0515
r1851,1.0515
r1852,1.0515
r1853,1.0515
r1854,1.0515
r1855,1.0515
r1856,1.0515
r1857,1.0515
r1858,1.0515
r1859,1.0515
r1860,1.0515
r1861,1.0515
r1862,1.0515
r1863,1.0515
r1864,1.0515
r1865,1.0515
r1866,1.0515
r1867,1.0515
r1871,1.0515
r1872,1.0515
r1873,1.0515
r1874,1.0515
r1876,1.0515
r1877,1.0515
r1879,1.0515
r1880,1.0515
r1881,1.0515
r1882,1.0515
r1883,1.0515
r1884,1.0515
r1885,1.0515
r1886,1.0515
r1887,1.0515
r1888,1.0515
r1889,1.0515
r1890,1.0515
r1891,1.0515
r1892,1.0515
r1893,1.0515
r1894,1.0515
r1895,1.0515
r1896,1.0515
r1897,1.0515
r1898,1.0515
r1899,1.0515
r1900,1.0515
r1901,1.0515
r1902,1.0515
r1903,1.0515
r1904,1.0515
r1905,1.0515
r1906,1.0515
r1907,1.0515
r1908,1.0515
r1909,1.0515
r1910,1.0515
r1911,1.0515
r1912,1.0515
r1913,1.0515
r1914,1.0515
r1915,1.0515
r1916,1.0515
r1917,1.0515
r1918,1.0515
r1919,1.0515
r1920,1.0515
r1921,1.0515
r1922,1.0515
r1923,1.0515
r1924,1.0515
r1925,1.0515
r1926,1.0515
r1928,1.0515
r1929,1.0515
r1930,1.0515
r1931,1.0515
r1932,1.0515
r1933,1.0515
r1934,1.0515
r1935,1.0515
r1936,1.0515
r1937,1.0515
r1938,1.0515
r1939,1.0515
r1940,1.0515
r1941,1.0515
r1942,1.0515
r1943,1.0515
r1944,1.0515
r1945,1.0515
r1946,1.0515
r1947,1.0515
r1948,1.0515
r1949,1.0515
r1950,1.0515
r1951,1.0515
r1952,1.0515
r1953,1.0515
r1954,1.0515
r1955,1.0515
r1956,1.0515
r1957,1.0515
r1958,1.0515
r1959,1.0515
r1960,1.0515
r1961,1.0515
r1962,1.0515
r1963,1.0515
r1964,1.0515
r1965,1.0515
r1966,1.0515
r1967,1.0515
r1968,1.0515
r1969,1.0515
r1970,1.0515
r1971,1.0515
r1972,1.0515
r1973,1.0515
r1974,1.0515
r1975,1.0515
r1976,1.0515
r1977,1.0515
r1978,1.0515
r1979,1.0515
r1980,1.0515
r1981,1.0515
r1982,1.0515
r1983,1.0515
r1984,1.0515
r1985,1.0515
r1986,1.0515
r1987,1.0515
r1988,1.0515
r1989,1.0515
r1990,1.0515
r1991,1.0515
r1992,NaN
r1993,NaN
r1994,NaN
r1995,NaN
r1996,NaN
r1997,NaN
r1998,NaN
r1999,NaN
r2000,NaN
r2001,NaN
r2002,NaN
r2003,NaN
r2004,NaN
r2005,NaN
r2006,NaN
r2007,NaN
r2008,NaN
r2009,NaN
r2010,NaN
r2011,NaN
r2012,NaN
r2013,NaN
r2014,NaN
r2015,NaN
r2016,NaN
r2017,NaN
r2018,NaN
r2019,NaN
r2020,NaN
r2021,NaN
r2022,NaN
r2023,NaN
r2024,NaN
r2026,NaN
r2027,NaN
r2028,NaN
r2029,NaN
r2030,NaN
r2031,NaN
r2032,NaN
r2034,NaN
r2035,NaN
r2036,NaN
r2037,NaN
r2038,NaN
r2039,NaN
r2040,NaN
r2041,NaN
r2042,NaN
r2043,NaN
r2044,NaN
r2045,NaN
r2046,NaN
r2047,NaN
r2048,NaN
r2049,NaN
r2050,NaN
r2051,NaN
r2052,NaN
r2053,NaN
r2054,NaN
r2055,NaN
r2056,NaN
r2057,NaN
r2058,NaN
r2059,NaN
r2060,NaN
r2061,NaN
r2062,NaN
r2063,NaN
r2064,NaN
r2065,NaN
r2066,NaN
r2067,NaN
r2068,NaN
r2069,NaN
r2070,NaN
r2071,NaN
r2079,2.449
r2080,2.449
r2081,2.449
r2083,2.449
r2084,2.449
r2093,2.449
r2094,2.449
r2095,2.449
r2097,2.449
r2099,2.449
r2101,2.449
r2102,2.449
r2104,2.449
r2105,2.449
r2107,2.449
r2110,2.449
r2112,2.449
r2114,2.449
r2117,2.449
r2119,2.449
r2128,2.449
r2137,NaN
r2308,NaN
r2309,NaN
r2371,1.3255
r2372,1.3255
r2373,1.3255
r2374,1.3255
r2375,1.3255
r2376,1.3255
r2377,1.3255
r2378,1.3255
r2379,1.3255
r2380,1.3255
r2381,1.3255
r2382,1.3255
r2384,1.3255
r2385,1.3255
r2386,1.3255
r2387,1.3255
r2388,1.3255
r2389,1.3255
r2390,1.3255
r2391,1.3255
r2392,1.3255
r2393,1.3255
r2394,1.3255
r2395,NaN
r2396,NaN
r2397,NaN
r2398,NaN
r2399,NaN
r2400,NaN
r2401,NaN
r2402,NaN
r2403,NaN
r2404,NaN
r2405,NaN
r2406,NaN
