Var1,ASP14_i10_plus_midlow
THRALANaEx,1.977
THRASNNaEx,1.977
THRCYSNaEx,1.977
THRD_L,NaN
THRGLNexR,1.981
THRGLNNaEx,1.977
THRGLYexR,1.981
THRSERNaEx,1.977
THRt4,3.159
TKT1,2.011
TKT2,2.011
TPI,3.408
TRPO2,3.302
TRPt,1.127
TRPt4,NaN
TYRt,NaN
TYRt4,NaN
TYRTA,1.861
UDPGLCAter,1.44
UMPK,2.317
UMPK2,2.317
UMPK3,2.317
UMPK4,2.317
UMPK5,2.317
UMPK7,2.317
UMPtr,NaN
URCN,NaN
UREAt,NaN
UREAt5,NaN
UREAtm,NaN
VALt4,NaN
VALt5m,NaN
VALTA,2.991
VALTAm,1.222
VALtec,NaN
XYLUR,1.029
EX_fald_e,NaN
EX_ptrc_e,NaN
EX_spmd_e,NaN
r0010,1.868
r0021,1.362
r0022,1.362
r0028,0.549
r0034,NaN
r0055,NaN
r0060,NaN
r0062,NaN
r0074,NaN
r0081,0.578
r0085,1.911
r0086,1.911
r0119,1.654
r0122,NaN
r0127,NaN
r0142,NaN
r0153,NaN
r0156,NaN
r0157,NaN
r0165,NaN
r0173,3.178
r0178,NaN
r0179,NaN
r0191,0.947
r0202,NaN
r0249,NaN
r0280,NaN
r0295,NaN
r0301,2.123
r0317,1.463
r0354,1.024
r0355,1.024
r0365,NaN
r0398,0.857
r0399,NaN
r0413,NaN
r0426,1.463
r0450,NaN
r0464,1.989
r0483,NaN
r0509,0.705
r0525,1.669
r0541,0.306
r0549,1.989
r0552,1.863
r0553,1.863
r0560,NaN
r0570,1.246
r0596,1.92
r0645,NaN
r0647,NaN
r0655,1.83
r0669,2.369
r0683,1.83
r0779,1.92
r0784,NaN
r0792,NaN
r0801,1.801
r0812,1.495
r0817,NaN
r0819,NaN
r0821,NaN
r0822,NaN
r0829,NaN
r0830,NaN
r0838,NaN
r0839,NaN
r0840,NaN
r0841,NaN
r0860,NaN
r0879,NaN
r0881,NaN
r0885,NaN
r0899,NaN
r0911,NaN
r0913,1.499
r0915,1.499
r0917,1.499
r0924,NaN
r0941,NaN
r0942,NaN
r0944,NaN
r0946,NaN
r1030,NaN
r1050,NaN
r1051,NaN
r1052,NaN
r1088,NaN
r1090,1.499
r1109,NaN
r1143,NaN
r1144,NaN
r1147,1.499
r1154,1.148
r1155,2.421
r1162,NaN
r1291,NaN
r1421,NaN
r1427,NaN
r1428,NaN
r1429,NaN
r1434,NaN
r1435,NaN
r1453,NaN
r1454,2.421
r1464,NaN
r1493,NaN
r1530,NaN
r1538,NaN
r1544,0.624
r1546,0.624
r1547,0.624
r1548,0.624
r1549,0.624
r1551,0.624
r1552,0.624
r1553,0.624
r1554,0.624
r1556,0.624
r1557,0.624
r1559,0.624
r1560,0.624
r1561,0.624
r1562,0.624
r1563,0.624
r1564,0.624
r1565,0.624
r1566,0.624
r1567,0.624
r1568,0.624
r1569,0.624
r1570,0.624
r1571,0.624
r1573,0.624
r1574,0.624
r1575,0.624
r1576,0.624
r1578,0.624
r1579,0.624
r1580,0.624
r1581,0.624
r1583,0.624
r1584,0.624
r1585,0.624
r1586,0.624
r1587,0.624
r1588,0.624
r1589,0.624
r1590,0.624
r1591,0.624
r1592,0.624
r1593,0.624
r1594,0.624
r1595,0.624
r1596,0.624
r1597,0.624
r1598,0.624
r1599,0.624
r1600,0.624
r1602,0.624
r1603,0.624
r1604,0.624
r1605,0.624
r1606,0.624
r1607,0.624
r1608,0.624
r1609,0.624
r1610,0.624
r1611,0.624
r1612,0.624
r1613,0.624
r1614,0.624
r1615,0.624
r1616,0.624
r1617,0.624
r1618,0.624
r1619,0.624
r1620,0.624
r1621,0.624
r1622,0.624
r1623,0.624
r1624,0.624
r1625,0.624
r1626,0.624
r1627,0.624
r1628,0.624
r1629,0.624
r1630,0.624
r1631,0.624
r1632,0.624
r1633,0.624
r1634,0.624
r1635,0.624
r1636,0.624
r1637,0.624
r1638,0.624
r1639,0.624
r1640,0.624
r1641,0.624
r1642,0.624
r1643,0.624
r1644,0.624
r1645,0.624
r1646,0.624
r1647,0.624
r1648,0.624
r1649,0.624
r1650,0.624
r1651,0.624
r1652,0.624
r1653,0.624
r1654,0.624
r1655,0.624
r1656,0.624
r1657,0.624
r1658,0.624
r1659,0.624
r1660,0.624
r1661,0.624
r1662,0.624
r1664,1.053
r1665,1.053
r1666,1.053
r1667,1.053
r1668,1.053
r1669,1.053
r1670,1.053
r1671,1.053
r1672,1.053
r1673,1.053
r1674,1.053
r1675,1.053
r1676,1.053
r1677,1.053
r1678,1.053
r1679,1.053
r1680,1.053
r1681,1.053
r1682,1.053
r1683,1.053
r1684,1.053
r1685,1.053
r1686,1.053
r1687,1.053
r1690,1.053
r1691,1.053
r1692,1.053
r1693,1.053
r1695,1.053
r1696,1.053
r1698,1.053
r1700,1.053
r1701,1.053
r1702,1.053
r1705,1.053
r1706,1.053
r1707,1.053
r1708,1.053
r1710,1.053
r1711,1.053
r1713,1.053
r1715,1.053
r1716,1.053
r1717,1.053
r1720,1.053
r1721,1.053
r1722,1.053
