"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
4.89953059788779e-122 0.943328260606295 0.938 0.087 9.02591526742888e-118 "2" "ASF1B"
7.69439823353099e-119 0.757950854071447 0.958 0.105 1.41746204258108e-114 "2" "CDCA7"
1.56545454280386e-112 0.842438762830705 0.885 0.081 2.88388035875328e-108 "2" "PKMYT1"
1.6226497359086e-111 0.692200255212527 0.802 0.058 2.98924534349082e-107 "2" "ZNF367"
4.37195250782558e-108 1.16369207184049 0.979 0.146 8.05401090991629e-104 "2" "CLSPN"
1.37682951209619e-102 1.3898247090536 0.99 0.172 2.5363953271836e-98 "2" "E2F1"
7.03998331314998e-100 0.846416686495868 0.927 0.13 1.29690572594849e-95 "2" "BRCA1"
1.80961945104396e-97 0.947038938085379 0.875 0.099 3.33368095271319e-93 "2" "MYBL2"
4.19148591033739e-81 1.42214615130331 1 0.291 7.72155534402355e-77 "2" "GINS2"
5.75716281851826e-80 0.88039213081302 0.938 0.2 1.06058453442743e-75 "2" "TCF19"
7.11850487387864e-79 0.919179564091355 1 0.292 1.31137096786592e-74 "2" "CHAF1A"
9.0835632941677e-79 0.816135429861863 0.938 0.189 1.67337403005157e-74 "2" "CDC45"
2.34595025797833e-75 0.739292113366052 0.99 0.258 4.32170956524767e-71 "2" "PSMC3IP"
2.79278580342573e-73 0.744046643628938 0.906 0.179 5.14487000707088e-69 "2" "BRCA2"
5.8281722638704e-72 0.975923567315518 1 0.364 1.0736658944502e-67 "2" "DSN1"
2.3850807437082e-71 0.823325503336118 0.885 0.176 4.39379574605924e-67 "2" "RAD51AP1"
6.31580954358499e-71 0.954779206847221 1 0.341 1.16349843411923e-66 "2" "ORC6"
1.01895446362124e-70 0.736079025651176 0.969 0.242 1.87711791288304e-66 "2" "MCM8"
8.19440116447857e-70 0.961305231721405 1 0.374 1.50957258252024e-65 "2" "WDR76"
1.6515098066736e-69 1.02648348301637 1 0.386 3.0424113658541e-65 "2" "CDC6"
2.20297307170402e-69 1.08781890596989 1 0.387 4.05831699269315e-65 "2" "UHRF1"
1.1902042333792e-68 0.8109097345123 0.969 0.281 2.19259423873116e-64 "2" "CENPK"
2.87920602963864e-67 1.21243749303354 1 0.382 5.3040733478003e-63 "2" "CENPU"
3.21736657725567e-67 1.31576194750168 1 0.453 5.92703270862039e-63 "2" "MCM4"
4.41792666059071e-67 0.839601969576434 1 0.397 8.1387044941402e-63 "2" "PAQR4"
5.95200314872256e-67 0.684606347598821 1 0.319 1.09647802005767e-62 "2" "SLC29A1"
2.01724456674827e-64 0.731138113773936 0.969 0.284 3.71616794086367e-60 "2" "ATAD5"
1.8302284089677e-63 1.27375206053298 1 0.541 3.37164677500029e-59 "2" "FEN1"
5.36441311937879e-62 0.635389612295197 0.865 0.171 9.88232184851961e-58 "2" "TMSB15A"
6.52658683392739e-62 1.14579257441626 1 0.568 1.2023278265461e-57 "2" "CDT1"
4.51867646976577e-61 0.807758812728416 1 0.454 8.3243057926025e-57 "2" "MCM2"
4.95436570023441e-61 1.24140365735501 1 0.67 9.12693249297183e-57 "2" "MCM5"
6.69704865698472e-61 0.640697672500091 0.948 0.265 1.23373030358972e-56 "2" "CDK2"
4.05789277359768e-60 0.824149506559737 1 0.543 7.47545006752165e-56 "2" "MCM6"
1.17262224631895e-59 1.1853916280166 1 0.809 2.16020470216878e-55 "2" "MCM3"
1.24411833920287e-58 1.01023458723874 0.99 0.399 2.29191480447952e-54 "2" "HELLS"
1.24546154662066e-58 1.08215716741949 1 0.986 2.29438926118459e-54 "2" "PCNA"
5.75283766869592e-58 1.25594887555867 0.948 0.354 1.05978775532716e-53 "2" "TK1"
7.46925260516438e-58 0.715023599419344 0.698 0.117 1.37598571492338e-53 "2" "ESCO2"
2.25982172997599e-57 1.05408375262386 1 0.912 4.16304359096177e-53 "2" "MCM7"
2.59963096182919e-57 0.638592617184269 0.896 0.226 4.78904015788173e-53 "2" "FANCA"
5.07186082517322e-57 0.872144417946518 1 0.635 9.34338201213411e-53 "2" "GINS4"
5.64557498633874e-57 0.865497028197141 1 0.956 1.04002782398332e-52 "2" "SLBP"
6.71380599024622e-57 0.902286186883432 1 0.844 1.23681733952316e-52 "2" "RFC2"
2.26033872960984e-56 0.959936371609873 1 0.696 4.16399600768724e-52 "2" "RFC4"
1.8533407559516e-55 1.02209717720951 1 0.878 3.41422434061404e-51 "2" "RNASEH2A"
6.47200750932563e-55 1.55360991466796 1 0.761 1.19227322336797e-50 "2" "KIAA0101"
9.96960403080773e-55 0.659402863294246 1 1 1.8366004545554e-50 "2" "RANBP1"
1.10398762045617e-54 0.645606599664101 0.917 0.284 2.03376599440435e-50 "2" "CHAF1B"
4.22440612054142e-54 0.815894165024048 1 0.86 7.78220095526141e-50 "2" "USP1"
4.80573204364469e-53 1.23818275493661 1 0.643 8.85311957080224e-49 "2" "TYMS"
1.83082820825049e-52 0.800899749166891 1 0.99 3.37275172523906e-48 "2" "CKS1B"
1.8955207294214e-52 1.02331663886417 1 0.568 3.4919282877401e-48 "2" "DHFR"
3.37206833831777e-52 0.974402679807228 1 0.875 6.21202429284899e-48 "2" "ATAD2"
4.99187981121305e-52 1.13214551337815 0.99 0.404 9.19604098821668e-48 "2" "ZWINT"
5.12672894134986e-52 0.804443301697216 1 0.772 9.44446005575471e-48 "2" "RRM1"
5.64318409013122e-52 0.850595425335474 1 0.888 1.03958737308397e-47 "2" "DNMT1"
1.79691096354876e-51 0.745545083453409 1 0.943 3.31026937704953e-47 "2" "WDR34"
4.23273890461735e-51 0.917633151255723 1 1 7.79755161008609e-47 "2" "H2AFZ"
5.27515657936299e-51 0.792621786731587 1 0.678 9.7178934505025e-47 "2" "CENPH"
7.02366487413798e-51 0.747286766447312 1 0.614 1.2938995431137e-46 "2" "CASP8AP2"
8.88725694386619e-51 0.856241090843797 0.938 0.332 1.63721047419903e-46 "2" "CENPM"
