"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
3.70665236349925e-41 0.436228662023206 1 1 3.69145508880891e-37 "2" "MT-CO3"
1.90318659680053e-40 0.297272349503111 1 1 1.89538353175365e-36 "2" "ZYX"
4.49322882892053e-40 0.259687906926924 1 1 4.47480659072195e-36 "2" "SAP18"
7.94700309362843e-38 0.272501968982029 1 0.999 7.91442038094455e-34 "2" "EPB41"
1.68458762108433e-37 0.253177294633192 1 1 1.67768081183788e-33 "2" "STEAP1"
4.22545224767055e-35 0.285220181471328 1 0.996 4.2081278934551e-31 "2" "MIA"
4.2354297981963e-35 0.319668058553275 1 1 4.21806453602369e-31 "2" "MT-ND4"
6.58398603233029e-35 0.327172546082769 1 1 6.55699168959774e-31 "2" "MT-ND5"
2.15762769159509e-34 0.383864581410203 1 1 2.14878141805955e-30 "2" "RAMP1"
2.38997846671829e-34 0.333756011453594 1 1 2.38017955500474e-30 "2" "GDF10"
7.31062753634917e-33 0.405654039581032 1 1 7.28065396345014e-29 "2" "APOE"
7.34975231010687e-32 0.465850382489752 1 1 7.31961832563543e-28 "2" "MT-CO2"
6.11688023411655e-31 0.300874524847279 1 1 6.09180102515667e-27 "2" "HSP90AA1"
1.01601834102157e-30 0.349791794822302 1 1 1.01185266582338e-26 "2" "ATP6AP2"
1.94761953811676e-30 0.271802884159307 1 1 1.93963429801049e-26 "2" "SERPINF1"
2.37611346344911e-30 0.265469491099361 1 0.973 2.36637139824897e-26 "2" "ID3"
3.88053702183535e-26 0.421125819685106 1 1 3.86462682004582e-22 "2" "MT-CYB"
5.38915273566323e-25 0.386014209225158 1 1 5.36705720944701e-21 "2" "CCK"
1.4216058214246e-24 0.366458113033473 1 1 1.41577723755676e-20 "2" "HSPH1"
2.94827626718317e-21 0.290549642529487 1 1 2.93618833448772e-17 "2" "IGFBP2"
2.40442152506758e-20 0.264193063696023 1 1 2.3945633968148e-16 "2" "ITM2A"
2.56792331226032e-19 0.346196222203471 1 1 2.55739482668005e-15 "2" "RARRES2"
1.03444879010613e-18 0.292424056647928 1 1 1.03020755006669e-14 "2" "HSPA8"
3.37543906568737e-17 0.256279108993335 1 1 3.36159976551806e-13 "2" "UGT3A2"
4.32649533622081e-17 0.259007143913415 1 1 4.30875670534231e-13 "2" "SCG2"
2.44363576230775e-13 0.272620626619174 1 1 2.43361685568229e-09 "2" "FCGRT"
1.25376178298404e-139 1.07346381031037 1 0.725 1.24862135967381e-135 "3" "SELENOM"
7.82006219433022e-139 1.18974700674735 1 1 7.78799993933346e-135 "3" "SELENOK"
2.79821042318838e-138 1.13695771141246 1 1 2.78673776045331e-134 "3" "ARF4"
3.77285604567272e-138 1.9039750473686 1 0.995 3.75738733588546e-134 "3" "DNAJB9"
6.38076659383323e-136 1.69685446001905 1 1 6.35460545079851e-132 "3" "P4HB"
2.31309578700774e-135 1.8011843700534 1 1 2.30361209428101e-131 "3" "PPIB"
6.66243029300329e-135 1.80711126186171 1 0.999 6.63511432880198e-131 "3" "NUCB2"
1.35667385608081e-134 1.51641858128232 1 1 1.35111149327088e-130 "3" "SERP1"
3.21710487352288e-134 2.05729885344583 1 0.996 3.20391474354144e-130 "3" "HERPUD1"
5.06243433733141e-134 0.979147490354041 1 1 5.04167835654835e-130 "3" "OSTC"
1.30484004315318e-133 2.56448478180814 1 1 1.29949019897625e-129 "3" "HSPA5"
1.26639533917732e-132 1.53905974346594 1 0.992 1.26120311828669e-128 "3" "DDIT3"
1.82043963502438e-132 0.794881081122815 1 0.993 1.81297583252078e-128 "3" "PGM3"
4.46635304122806e-132 1.31089387714987 1 1 4.44804099375903e-128 "3" "SSR2"
1.39797072298053e-131 1.58151199288987 1 1 1.39223904301631e-127 "3" "SSR3"
4.50818325759873e-131 1.08788865283619 1 1 4.48969970624258e-127 "3" "TMED2"
2.52157177073073e-130 1.00095408827995 0.931 0.397 2.51123332647073e-126 "3" "TRIB3"
2.95272522324274e-130 1.00095998384838 1 0.951 2.94061904982744e-126 "3" "XBP1"
8.85742239055238e-130 0.9004557325388 1 1 8.82110695875111e-126 "3" "SEC61G"
1.01176408609387e-128 1.25623080876087 1 1 1.00761585334089e-124 "3" "NANS"
5.29735247737474e-128 1.78866312305778 1 0.999 5.27563333221751e-124 "3" "SEC11C"
7.43625131694864e-128 0.770274956198188 1 1 7.40576268654915e-124 "3" "UFM1"
8.15081547237474e-127 1.26681474200346 1 1 8.11739712893801e-123 "3" "SEC61B"
9.45835979109902e-127 0.899728887676321 1 1 9.41958051595552e-123 "3" "SPCS2"
7.75913679534015e-126 0.961489473094093 1 1 7.72732433447926e-122 "3" "DSTN"
5.32660959037971e-125 0.733100561168581 1 1 5.30477049105915e-121 "3" "EIF2A"
8.19836283476865e-125 0.873203687142649 1 0.987 8.1647495471461e-121 "3" "VEGFA"
2.92404448467766e-123 0.664947012723469 1 0.998 2.91205590229048e-119 "3" "KDM3A"
3.12002571343609e-123 1.05118297766303 0.996 1 3.10723360801101e-119 "3" "CALU"
4.2665690056055e-123 1.09537429746307 1 1 4.24907607268252e-119 "3" "TMEM258"
5.06688785631191e-123 2.4616283992316 1 1 5.04611361610103e-119 "3" "HSP90B1"
7.32832764001285e-123 1.44317431829844 1 1 7.2982814966888e-119 "3" "ZFAS1"
7.39049638276169e-123 1.37359760630925 1 1 7.36019534759236e-119 "3" "TAF1D"
9.66283234203887e-122 1.20242993192482 1 1 9.62321472943651e-118 "3" "HM13"
3.54224389106019e-121 0.739903889270233 1 1 3.52772069110685e-117 "3" "RPS27"
6.84796151030097e-120 1.08914214066001 1 1 6.81988486810874e-116 "3" "TMED9"
9.01809036176558e-120 1.98614501218482 1 0.999 8.98111619128234e-116 "3" "MANF"
7.74328331854048e-119 0.629456844920546 1 1 7.71153585693447e-115 "3" "RPL28"
1.83068411752374e-118 0.815647490137519 1 1 1.82317831264189e-114 "3" "TXNL1"
2.19705194382889e-118 0.836611722655105 1 1 2.1880440308592e-114 "3" "SEC31A"
1.19564990448928e-117 1.15691033980037 1 1 1.19074773988087e-113 "3" "GAS5"
1.26337157887895e-117 0.940889392706146 1 1 1.25819175540555e-113 "3" "MYDGF"
2.19112460760765e-117 0.772208971023199 1 1 2.18214099671646e-113 "3" "SEC63"
7.61024022828543e-117 1.44888874822042 1 1 7.57903824334946e-113 "3" "CALR"
2.4104395222398e-115 1.61777613459992 0.996 0.979 2.40055672019862e-111 "3" "SDF2L1"
2.95896342825859e-115 0.745885439991133 1 1 2.94683167820273e-111 "3" "EIF1"
3.78160883446283e-115 0.567194649289707 1 1 3.76610423824153e-111 "3" "GOLGA2"
3.2498594361453e-114 1.73446643427115 1 0.995 3.2365350124571e-110 "3" "PDIA4"
3.63236673125119e-114 1.32834099523983 1 1 3.61747402765306e-110 "3" "SNHG12"
2.59442279613723e-113 0.840683846472801 1 1 2.58378566267307e-109 "3" "NPM1"
1.32770466054596e-112 0.567550492510074 1 1 1.32226107143772e-108 "3" "EBLN3P"
1.50692376350009e-112 0.783612151941674 1 1 1.50074537606974e-108 "3" "DERL2"
1.53652099344906e-111 0.772930588813598 1 1 1.53022125737592e-107 "3" "BNIP3"
5.01944392769166e-111 0.816559893572721 1 1 4.99886420758813e-107 "3" "FTL"
5.08703159558838e-111 1.00201018080674 1 1 5.06617476604647e-107 "3" "HDLBP"
9.40822593575274e-111 0.631616121698095 1 1 9.36965220941616e-107 "3" "IRF2BP2"
3.38661264113018e-110 0.996898477204285 1 1 3.37272752930155e-106 "3" "PJA2"
2.8958312340943e-109 0.765550252065611 1 1 2.88395832603452e-105 "3" "GNL3"
4.81863113346719e-109 0.598913442818516 1 1 4.79887474581997e-105 "3" "RPL26"
9.14832836924139e-109 0.596572232587801 1 1 9.11082022292751e-105 "3" "RPS24"
