""	"symbol"	"gene_number"
"ATP6V0C"	"ATP6V0C"	"527.1"
"SLC7A5"	"SLC7A5"	"8140.1"
"ALDOB"	"ALDOB"	"229.1"
"ATP6V0A2"	"ATP6V0A2"	"23545.1"
"ALDOA"	"ALDOA"	"226.3"
"ALDOA"	"ALDOA"	"226.1"
"ATP6V1G2"	"ATP6V1G2"	"534.1"
"PFKFB1"	"PFKFB1"	"5207.1"
"ATP6V1C1"	"ATP6V1C1"	"528.2"
"ATP6V1B2"	"ATP6V1B2"	"526.1"
"SLC7A8"	"SLC7A8"	"23428.2"
"SLC7A8"	"SLC7A8"	"23428.1"
"PFKFB2"	"PFKFB2"	"5208.1"
"CDO1"	"CDO1"	"1036.1"
"ATP6V1C2"	"ATP6V1C2"	"245973.1"
"PFKFB4"	"PFKFB4"	"5210.1"
"FBP2"	"FBP2"	"8789.1"
"PFKFB3"	"PFKFB3"	"5209.1"
"SLC43A2"	"SLC43A2"	"124935.1"
"FBP1"	"FBP1"	"2203.1"
"FECH"	"FECH"	"2235.1"
"FECH"	"FECH"	"2235.2"
"SLC7A11"	"SLC7A11"	"23657.1"
"AICDA"	"AICDA"	"57379.1"
"GBA"	"GBA"	"2629.4"
"ALDH1L1"	"ALDH1L1"	"10840.1"
"GBGT1"	"GBGT1"	"26301.1"
"CYBRD1"	"CYBRD1"	"79901.1"
"CDA"	"CDA"	"978.1"
"FUK"	"FUK"	"197258.1"
"UCK2"	"UCK2"	"7371.1"
