""	"symbol"	"gene_number"
"CPA5"	"CPA5"	"93979.1"
"TPSD1"	"TPSD1"	"23430.1"
"UQCRC1"	"UQCRC1"	"7384.1"
"UQCRH"	"UQCRH"	"7388.1"
"UQCRFS1"	"UQCRFS1"	"7386.1"
"UQCR10"	"UQCR10"	"29796.2"
"UQCRC2"	"UQCRC2"	"7385.1"
"CYC1"	"CYC1"	"1537.1"
"SLC25A27"	"SLC25A27"	"9481.1"
"SLC25A14"	"SLC25A14"	"9016.2"
"SLC25A14"	"SLC25A14"	"9016.1"
"UCP3"	"UCP3"	"7352.2"
"UCP2"	"UCP2"	"7351.1"
"UCP3"	"UCP3"	"7352.1"
"NDUFS6"	"NDUFS6"	"4726.1"
"NDUFV2"	"NDUFV2"	"4729.1"
"ND6"	"ND6"	"4541.1"
"NDUFS1"	"NDUFS1"	"4719.1"
"NDUFB7"	"NDUFB7"	"4713.1"
"NDUFC2"	"NDUFC2"	"4718.1"
"TUSC3"	"TUSC3"	"7991.2"
"NDUFA11"	"NDUFA11"	"126328.1"
"ND4L"	"ND4L"	"4539.1"
"NDUFV3"	"NDUFV3"	"4731.2"
"NDUFA1"	"NDUFA1"	"4694.1"
"NDUFA10"	"NDUFA10"	"4705.1"
"NDUFA9"	"NDUFA9"	"4704.1"
"NDUFA2"	"NDUFA2"	"4695.1"
"NDUFA3"	"NDUFA3"	"4696.1"
"NDUFB1"	"NDUFB1"	"4707.1"
"NDUFB5"	"NDUFB5"	"4711.1"
"NDUFB6"	"NDUFB6"	"4712.1"
"NDUFA8"	"NDUFA8"	"4702.1"
"ND3"	"ND3"	"4537.1"
"NDUFB4"	"NDUFB4"	"4710.1"
"NDUFA6"	"NDUFA6"	"4700.1"
"ND4"	"ND4"	"4538.1"
"NDUFB2"	"NDUFB2"	"4708.1"
"NDUFB3"	"NDUFB3"	"4709.1"
"NDUFB9"	"NDUFB9"	"4715.1"
"ND1"	"ND1"	"4535.1"
"UROC1"	"UROC1"	"131669.1"
"SRD5A3"	"SRD5A3"	"79644.1"
"RENBP"	"RENBP"	"5973.1"
"NDUFA5"	"NDUFA5"	"4698.1"
"NDUFA12"	"NDUFA12"	"55967.1"
"AKR1C2"	"AKR1C2"	"1646.1"
"NDUFA7"	"NDUFA7"	"4701.1"
"ND5"	"ND5"	"4540.1"
"DCTD"	"DCTD"	"1635.1"
""	""	"158160.1"
""	""	"286297.1"
"SLC19A2"	"SLC19A2"	"10560.1"
"NDUFC1"	"NDUFC1"	"4717.1"
"NDUFS7"	"NDUFS7"	"374291.1"
"NDUFV3"	"NDUFV3"	"4731.1"
"HSD17B6"	"HSD17B6"	"8630.1"
"NDUFS4"	"NDUFS4"	"4724.1"
"NDUFV1"	"NDUFV1"	"4723.1"
"AHCY"	"AHCY"	"191.1"
"AHCYL1"	"AHCYL1"	"10768.1"
"AHCYL1"	"AHCYL1"	"10768.2"
"HSD17B11"	"HSD17B11"	"51170.1"
"HSD17B12"	"HSD17B12"	"51144.1"
"ELOVL3"	"ELOVL3"	"83401.1"
"MPC2"	"MPC2"	"25874.1"
"NDUFS2"	"NDUFS2"	"4720.1"
"ELOVL7"	"ELOVL7"	"79993.1"
"NDUFA4"	"NDUFA4"	"4697.1"
"NDUFS8"	"NDUFS8"	"4728.1"
"MPC1"	"MPC1"	"51660.1"
"ELOVL1"	"ELOVL1"	"64834.1"
"ATP8B2"	"ATP8B2"	"57198.1"
"NDUFS5"	"NDUFS5"	"4725.1"
"HACD2"	"HACD2"	"201562.1"
"ATP8B1"	"ATP8B1"	"5205.1"
"HACD3"	"HACD3"	"51495.1"
"ATP11A"	"ATP11A"	"23250.1"
"NDUFAB1"	"NDUFAB1"	"4706.1"
"HACD1"	"HACD1"	"9200.1"
"HIGD2A"	"HIGD2A"	"192286.1"
"ATP11C"	"ATP11C"	"286410.1"
"HACD4"	"HACD4"	"401494.1"
"ABCB1"	"ABCB1"	"5243.1"
"ACOT13"	"ACOT13"	"55856.1"
"TECR"	"TECR"	"9524.1"
"NDUFB11"	"NDUFB11"	"54539.1"
"UCP1"	"UCP1"	"7350.1"
"TECRL"	"TECRL"	"253017.1"
"NDUFB10"	"NDUFB10"	"4716.1"
"FADS6"	"FADS6"	"283985.1"
"NDUFB6"	"NDUFB6"	"4712.2"
"FADS3"	"FADS3"	"3995.1"
"TUSC3"	"TUSC3"	"7991.1"
"ND2"	"ND2"	"4536.1"
"ACOT11"	"ACOT11"	"26027.1"
"ABCB6"	"ABCB6"	"10058.1"
"TBCB"	"TBCB"	"1155.1"
"NDUFB8"	"NDUFB8"	"4714.1"
"NDUFS3"	"NDUFS3"	"4722.1"
"SLC25A29"	"SLC25A29"	"123096.1"
"NDUFA13"	"NDUFA13"	"51079.1"
"RHCG"	"RHCG"	"51458.1"
"CD36"	"CD36"	"948.1"
"SLC22A9"	"SLC22A9"	"114571.1"
"COX6A2"	"COX6A2"	"1339.1"
"AKR1B10"	"AKR1B10"	"57016.1"
"RALBP1"	"RALBP1"	"10928.1"
"NOL9"	"NOL9"	"79707.1"
"NQO1"	"NQO1"	"1728.1"
"COX6C"	"COX6C"	"1345.1"
"FN3KRP"	"FN3KRP"	"79672.1"
"COX5B"	"COX5B"	"1329.1"
"GSTM2"	"GSTM2"	"2946.1"
"FAM20B"	"FAM20B"	"9917.1"
"ACER3"	"ACER3"	"55331.1"
"COX8C"	"COX8C"	"341947.1"
"COX6B2"	"COX6B2"	"125965.1"
"FGGY"	"FGGY"	"55277.1"
"ACER1"	"ACER1"	"125981.1"
"ACER2"	"ACER2"	"340485.1"
"FN3K"	"FN3K"	"64122.1"
"COX4I1"	"COX4I1"	"1327.1"
"PXYLP1"	"PXYLP1"	"92370.1"
"COX2"	"COX2"	"4513.1"
"GM2A"	"GM2A"	"2760.1"
"COX7A1"	"COX7A1"	"1346.1"
"ACPT"	"ACPT"	"93650.1"
"PSAP"	"PSAP"	"5660.1"
"ACP7"	"ACP7"	"390928.1"
"GBA2"	"GBA2"	"57704.1"
"NEU2"	"NEU2"	"4759.1"
"COX7A2"	"COX7A2"	"1347.1"
"UPRT"	"UPRT"	"139596.1"
"COX6A1"	"COX6A1"	"1337.1"
"PDPR"	"PDPR"	"55066.1"
"COX3"	"COX3"	"4514.1"
"NEU3"	"NEU3"	"10825.1"
"P4HA3"	"P4HA3"	"283208.1"
"ST8SIA4"	"ST8SIA4"	"7903.1"
"COX8A"	"COX8A"	"1351.1"
"COX4I2"	"COX4I2"	"84701.1"
"P4HA1"	"P4HA1"	"5033.1"
"COX7C"	"COX7C"	"1350.1"
"P4HA2"	"P4HA2"	"8974.1"
"COX1"	"COX1"	"4512.1"
"LIPF"	"LIPF"	"8513.1"
""	""	"8041.1"
"ENOPH1"	"ENOPH1"	"58478.1"
"ADI1"	"ADI1"	"55256.1"
"PNLIPRP2"	"PNLIPRP2"	"5408.1"
"COX7B2"	"COX7B2"	"170712.1"
"IL4I1"	"IL4I1"	"259307.1"
"COX5A"	"COX5A"	"9377.1"
"SLC25A37"	"SLC25A37"	"51312.1"
"COX7A2L"	"COX7A2L"	"9167.1"
"COX6B1"	"COX6B1"	"1340.1"
"PNPLA2"	"PNPLA2"	"57104.1"
"SLC25A28"	"SLC25A28"	"81894.1"
"AADAC"	"AADAC"	"13.1"
"COX7B"	"COX7B"	"1349.1"
"PHPT1"	"PHPT1"	"29085.1"
"LIPG"	"LIPG"	"9388.1"
"PNLIPRP1"	"PNLIPRP1"	"5407.1"
"MTMR6"	"MTMR6"	"9107.1"
"SACM1L"	"SACM1L"	"22908.1"
"PLPPR5"	"PLPPR5"	"163404.1"
"LIPE"	"LIPE"	"3991.1"
"INPP5F"	"INPP5F"	"22876.1"
"DAGLB"	"DAGLB"	"221955.1"
"PNLIP"	"PNLIP"	"5406.1"
"FIG4"	"FIG4"	"9896.1"
"DAGLA"	"DAGLA"	"747.1"
"NT5DC3"	"NT5DC3"	"51559.1"
"PNLIPRP3"	"PNLIPRP3"	"119548.1"
"FABP12"	"FABP12"	"646486.1"
"MTMR7"	"MTMR7"	"9108.1"
"PLPP7"	"PLPP7"	"84814.1"
"TNS2"	"TNS2"	"23371.1"
"FABP4"	"FABP4"	"2167.1"
"FABP6"	"FABP6"	"2172.1"
"DUSP11"	"DUSP11"	"8446.1"
"FABP7"	"FABP7"	"2173.1"
"CTDSPL2"	"CTDSPL2"	"51496.1"
"PTPRQ"	"PTPRQ"	"374462.1"
"FABP2"	"FABP2"	"2169.1"
"PLPP6"	"PLPP6"	"403313.1"
"PMPCA"	"PMPCA"	"23203.1"
"FABP5"	"FABP5"	"2171.1"
"MDP1"	"MDP1"	"145553.1"
"FABP9"	"FABP9"	"646480.1"
"FABP3"	"FABP3"	"2170.1"
"MTMR14"	"MTMR14"	"64419.1"
"ACSM5"	"ACSM5"	"54988.1"
"MTMR8"	"MTMR8"	"55613.1"
"ACSM4"	"ACSM4"	"341392.1"
"PTPDC1"	"PTPDC1"	"138639.1"
"MINPP1"	"MINPP1"	"9562.1"
"ACSM2A"	"ACSM2A"	"123876.1"
"ITPK1"	"ITPK1"	"3705.1"
"ACSM3"	"ACSM3"	"6296.1"
"PIP5KL1"	"PIP5KL1"	"138429.1"
"ACSM2B"	"ACSM2B"	"348158.1"
""	""	"344967.1"
"DHRS9"	"DHRS9"	"10170.1"
"DHRS3"	"DHRS3"	"9249.1"
"LRTOMT"	"LRTOMT"	"220074.1"
"ABHD5"	"ABHD5"	"51099.1"
"MBOAT1"	"MBOAT1"	"154141.1"
"DIO1"	"DIO1"	"1733.1"
"LCLAT1"	"LCLAT1"	"253558.1"
"PLPPR2"	"PLPPR2"	"64748.1"
"LPIN1"	"LPIN1"	"23175.1"
"DIO3"	"DIO3"	"1735.1"
"DIO2"	"DIO2"	"1734.1"
"SULT1B1"	"SULT1B1"	"27284.1"
"SULT1C2"	"SULT1C2"	"6819.1"
"PLPP5"	"PLPP5"	"84513.1"
"PLPPR3"	"PLPPR3"	"79948.1"
"COQ5"	"COQ5"	"84274.1"
"PLPPR4"	"PLPPR4"	"9890.1"
"KMT5C"	"KMT5C"	"84787.1"
"EHMT1"	"EHMT1"	"79813.1"
"LPIN3"	"LPIN3"	"64900.1"
"LPIN2"	"LPIN2"	"9663.1"
"KMT2B"	"KMT2B"	"9757.1"
"PLPP4"	"PLPP4"	"196051.1"
"SETDB1"	"SETDB1"	"9869.1"
"EPT1"	"EPT1"	"85465.1"
"PLD3"	"PLD3"	"23646.1"
"PLD4"	"PLD4"	"122618.1"
"SETD2"	"SETD2"	"29072.1"
"PLD6"	"PLD6"	"201164.1"
"BCHE"	"BCHE"	"590.1"
"SETD7"	"SETD7"	"80854.1"
"AGK"	"AGK"	"55750.1"
"KMT5A"	"KMT5A"	"387893.1"
"DOT1L"	"DOT1L"	"84444.1"
"KMT2A"	"KMT2A"	"4297.1"
"CERS5"	"CERS5"	"91012.1"
"CERS3"	"CERS3"	"204219.1"
"CERS1"	"CERS1"	"10715.1"
"KMT2C"	"KMT2C"	"58508.1"
"CERS6"	"CERS6"	"253782.1"
"ASH1L"	"ASH1L"	"55870.1"
"CERS2"	"CERS2"	"29956.1"
"EHMT2"	"EHMT2"	"10919.1"
"SUV39H1"	"SUV39H1"	"6839.1"
"CERS4"	"CERS4"	"79603.1"
"NSD1"	"NSD1"	"64324.1"
"ASAH2"	"ASAH2"	"56624.1"
"SETMAR"	"SETMAR"	"6419.1"
"FUT11"	"FUT11"	"170384.1"
"SETD1B"	"SETD1B"	"23067.1"
"UGGT1"	"UGGT1"	"56886.1"
"WHSC1L1"	"WHSC1L1"	"54904.1"
"FUT4"	"FUT4"	"2526.1"
"MGAT4D"	"MGAT4D"	"152586.1"
"B3GALNT2"	"B3GALNT2"	"148789.1"
"ALG1L"	"ALG1L"	"200810.1"
"POMGNT1"	"POMGNT1"	"55624.1"
"SMYD3"	"SMYD3"	"64754.1"
"POGLUT1"	"POGLUT1"	"56983.1"
"SUV39H2"	"SUV39H2"	"79723.1"
""	""	"644378.1"
"KMT2E"	"KMT2E"	"55904.1"
"ALG1L2"	"ALG1L2"	"644974.1"
"B4GALT4"	"B4GALT4"	"8702.1"
"SETD1A"	"SETD1A"	"9739.1"
"OGT"	"OGT"	"8473.1"
"GLT8D1"	"GLT8D1"	"55830.1"
"WHSC1"	"WHSC1"	"7468.1"
"STT3A"	"STT3A"	"3703.1"
"SETDB2"	"SETDB2"	"83852.1"
"KMT2D"	"KMT2D"	"8085.1"
"B4GALNT3"	"B4GALNT3"	"283358.1"
"KMT5B"	"KMT5B"	"51111.1"
"UGGT2"	"UGGT2"	"55757.1"
"SPCS3"	"SPCS3"	"60559.1"
"SEC11A"	"SEC11A"	"23478.1"
"MGAT5B"	"MGAT5B"	"146664.1"
"SPCS1"	"SPCS1"	"28972.1"
"FUT7"	"FUT7"	"2529.1"
"GLT6D1"	"GLT6D1"	"360203.1"
"SEC11C"	"SEC11C"	"90701.1"
"SPCS2"	"SPCS2"	"9789.1"
"DOLPP1"	"DOLPP1"	"57171.1"
"MGAT5"	"MGAT5"	"4249.1"
"MGAT4C"	"MGAT4C"	"25834.1"
"PXDN"	"PXDN"	"7837.1"
"GCNT7"	"GCNT7"	"140687.1"
"PXDNL"	"PXDNL"	"137902.1"
"B3GALT1"	"B3GALT1"	"8708.1"
"PPIP5K1"	"PPIP5K1"	"9677.1"
"PPIP5K2"	"PPIP5K2"	"23262.1"
"STT3B"	"STT3B"	"201595.1"
"TKFC"	"TKFC"	"26007.1"
"GLT8D2"	"GLT8D2"	"83468.1"
"FAAH2"	"FAAH2"	"158584.1"
"B3GNT9"	"B3GNT9"	"84752.1"
"PGM2L1"	"PGM2L1"	"283209.1"
"B3GLCT"	"B3GLCT"	"145173.1"
"CES3"	"CES3"	"23491.1"
"B4GALNT2"	"B4GALNT2"	"124872.1"
"FUT10"	"FUT10"	"84750.1"
"CES5A"	"CES5A"	"221223.1"
"B4GALNT4"	"B4GALNT4"	"338707.1"
"CES1"	"CES1"	"1066.1"
"CLPS"	"CLPS"	"1208.1"
"SLC47A2"	"SLC47A2"	"146802.1"
"GALNTL5"	"GALNTL5"	"168391.1"
"SLC47A1"	"SLC47A1"	"55244.1"
"SLC10A6"	"SLC10A6"	"345274.1"
"SLC22A12"	"SLC22A12"	"116085.1"
"B3GALT2"	"B3GALT2"	"8707.1"
"HYKK"	"HYKK"	"123688.1"
"GLTP"	"GLTP"	"51228.1"
"HSD17B14"	"HSD17B14"	"51171.1"
"HEXDC"	"HEXDC"	"284004.1"
"GLB1L"	"GLB1L"	"79411.1"
"WWOX"	"WWOX"	"51741.1"
"ST6GALNAC4"	"ST6GALNAC4"	"27090.1"
"NEU4"	"NEU4"	"129807.1"
"AKR1B15"	"AKR1B15"	"441282.1"
"FUT2"	"FUT2"	"2524.1"
"DHRS2"	"DHRS2"	"10202.1"
"FUT5"	"FUT5"	"2527.1"
"HTATIP2"	"HTATIP2"	"10553.1"
"SDR9C7"	"SDR9C7"	"121214.1"
"HSD11B1L"	"HSD11B1L"	"374875.1"
"FUT6"	"FUT6"	"2528.1"
"CYP2U1"	"CYP2U1"	"113612.1"
"BDH2"	"BDH2"	"56898.1"
"GPX8"	"GPX8"	"493869.1"
"CTBP1"	"CTBP1"	"1487.1"
"DPEP2"	"DPEP2"	"64174.1"
"SDR42E2"	"SDR42E2"	"100288072.1"
"DPEP3"	"DPEP3"	"64180.1"
"SDR42E1"	"SDR42E1"	"93517.1"
"PTGES3"	"PTGES3"	"10728.1"
"CBR4"	"CBR4"	"84869.1"
""	""	"340811.1"
"SCARF2"	"SCARF2"	"91179.1"
"ENPP6"	"ENPP6"	"133121.1"
"RPP14"	"RPP14"	"11102.1"
"PHYKPL"	"PHYKPL"	"85007.1"
"ALPP"	"ALPP"	"250.1"
"AKR1C3"	"AKR1C3"	"8644.1"
"FAXDC2"	"FAXDC2"	"10826.1"
"ALPPL2"	"ALPPL2"	"251.1"
"MAGEA2B"	"MAGEA2B"	"266740.1"
"SLC51A"	"SLC51A"	"200931.1"
"LBR"	"LBR"	"3930.1"
"SLC51B"	"SLC51B"	"123264.1"
"UGT2A1"	"UGT2A1"	"10941.1"
"UGT2A3"	"UGT2A3"	"79799.1"
"MYO5B"	"MYO5B"	"4645.1"
"PON3"	"PON3"	"5446.1"
"NPC1"	"NPC1"	"4864.1"
"ATP5B"	"ATP5B"	"506.1"
"HDLBP"	"HDLBP"	"3069.1"
"ATP5L"	"ATP5L"	"10632.1"
"ATP5F1"	"ATP5F1"	"515.2"
"ATP5H"	"ATP5H"	"10476.1"
"ATP5D"	"ATP5D"	"513.1"
"ATP5J"	"ATP5J"	"522.1"
"ATP5O"	"ATP5O"	"539.1"
"ATP5J2"	"ATP5J2"	"9551.1"
"ATP5G1"	"ATP5G1"	"516.2"
"ATP5J2"	"ATP5J2"	"9551.3"
"ATP5C1"	"ATP5C1"	"509.1"
"ATP5G3"	"ATP5G3"	"518.3"
"ATP5S"	"ATP5S"	"27109.1"
"ATP5G3"	"ATP5G3"	"518.2"
"ATP5E"	"ATP5E"	"514.2"
"ATP5D"	"ATP5D"	"513.2"
"NSF"	"NSF"	"4905.1"
"ATP5F1"	"ATP5F1"	"515.3"
"ATP5G2"	"ATP5G2"	"517.2"
"ATP5I"	"ATP5I"	"521.1"
"ATP5C1"	"ATP5C1"	"509.2"
"ATP5H"	"ATP5H"	"10476.2"
"ATP5G2"	"ATP5G2"	"517.1"
"ATP5F1"	"ATP5F1"	"515.1"
"ATP5J"	"ATP5J"	"522.5"
"ATP5G1"	"ATP5G1"	"516.1"
"ATP5A1"	"ATP5A1"	"498.3"
"ATP5L2"	"ATP5L2"	"267020.1"
"ATP5J"	"ATP5J"	"522.3"
"ATP5A1"	"ATP5A1"	"498.1"
"ATP5A1"	"ATP5A1"	"498.2"
"ATP5G3"	"ATP5G3"	"518.1"
"ATP5E"	"ATP5E"	"514.1"
"ATP5J"	"ATP5J"	"522.2"
"ATP5J2"	"ATP5J2"	"9551.2"
"ATP5J"	"ATP5J"	"522.4"
"UQCRQ"	"UQCRQ"	"27089.1"
"UQCR11"	"UQCR11"	"10975.1"
"UQCRB"	"UQCRB"	"7381.1"
"UQCR10"	"UQCR10"	"29796.1"
"CYTB"	"CYTB"	"4519.1"
