Var1,ASP14_i10_plus_midhigh
SERCYSNaEx,1.976
SERGLNexR,2.012
SERGLNNaEx,1.976
SERGLYexR,2.012
SERHL,NaN
SERLYSNaex,NaN
SERt4,3.135
SERTHRNaEx,1.976
SERtN1,NaN
SO4CLtex2,NaN
SO4HCOtex,1.9345
SO4OXAtex2,NaN
SO4t4_2,NaN
SPMDOX,NaN
SPMS,1.3325
SPODM,2.683
SPODMe,NaN
SPODMm,1.545
SPODMx,2.683
SPRMS,2.268
SUCCt2m,NaN
SUCCt4_2,NaN
SUCD1m,0.696
SUCOAS1m,0.373
SUCOASm,1.711
SULFOX,NaN
TALA,2.1015
THD1m,1.5955
THRALANaEx,1.976
THRASNNaEx,1.976
THRCYSNaEx,1.976
THRD_L,NaN
THRGLNexR,2.012
THRGLNNaEx,1.976
THRGLYexR,2.012
THRSERNaEx,1.976
THRt4,3.135
TKT1,1.9355
TKT2,1.9355
TPI,3.415
TRPO2,3.054
TRPt,0.8365
TRPt4,NaN
TYRt,NaN
TYRt4,NaN
TYRTA,1.7385
UDPGLCAter,1.388
UMPK,2.109
UMPK2,2.109
UMPK3,2.109
UMPK4,2.109
UMPK5,2.109
UMPK7,2.109
UMPtr,NaN
URCN,NaN
UREAt,NaN
UREAt5,NaN
UREAtm,NaN
VALt4,NaN
VALt5m,NaN
VALTA,3.041
VALTAm,1.451
VALtec,NaN
XYLUR,0.9165
EX_fald_e,NaN
EX_ptrc_e,NaN
EX_spmd_e,NaN
r0010,1.949
r0021,1.304
r0022,1.304
r0028,0.967
r0034,NaN
r0055,NaN
r0060,NaN
r0062,NaN
r0074,NaN
r0081,0.775
r0085,1.9505
r0086,1.9505
r0119,1.5905
r0122,NaN
r0127,NaN
r0142,NaN
r0153,NaN
r0156,NaN
r0157,NaN
r0165,NaN
r0173,3.225
r0178,NaN
r0179,NaN
r0191,0.9625
r0202,NaN
r0249,0.1045
r0280,NaN
r0295,NaN
r0301,2.0935
r0317,1.328
r0354,1.0485
r0355,1.0485
r0365,NaN
r0398,0.408
r0399,NaN
r0413,NaN
r0426,1.328
r0450,NaN
r0464,2.021
r0483,NaN
r0509,0.696
r0525,1.852
r0541,0.7605
r0549,2.021
r0552,2.021
r0553,2.021
r0560,NaN
r0570,1.5265
r0596,1.878
r0645,NaN
r0647,NaN
r0655,1.9445
r0669,2.36
r0683,1.9445
r0779,1.878
r0784,NaN
r0792,NaN
r0801,1.822
r0812,1.766
r0817,NaN
r0819,NaN
r0821,NaN
r0822,NaN
r0829,NaN
r0830,NaN
r0838,NaN
r0839,NaN
r0840,NaN
r0841,NaN
r0860,NaN
r0879,NaN
r0881,NaN
r0885,NaN
r0899,NaN
r0911,NaN
r0913,1.2435
r0915,1.2435
r0917,1.2435
r0924,NaN
r0941,NaN
r0942,NaN
r0944,NaN
r0946,NaN
r1030,NaN
r1050,NaN
r1051,NaN
r1052,NaN
r1088,NaN
r1090,1.2435
r1109,NaN
r1143,NaN
r1144,NaN
r1147,1.2435
r1154,0.559
r1155,2.4145
r1162,NaN
r1291,NaN
r1421,NaN
r1427,NaN
r1428,NaN
r1429,NaN
r1434,NaN
r1435,NaN
r1453,NaN
r1454,2.4145
r1464,NaN
r1493,NaN
r1530,NaN
r1538,NaN
r1544,0.965
r1546,0.965
r1547,0.965
r1548,0.965
r1549,0.965
r1551,0.965
r1552,0.965
r1553,0.965
r1554,0.965
r1556,0.965
r1557,0.965
r1559,0.965
r1560,0.965
r1561,0.965
r1562,0.965
r1563,0.965
r1564,0.965
r1565,0.965
r1566,0.965
r1567,0.965
r1568,0.965
r1569,0.965
