Var1,ASP14_i10_plus_high
r1594,1.2415
r1595,1.2415
r1596,1.2415
r1597,1.2415
r1598,1.2415
r1599,1.2415
r1600,1.2415
r1602,1.2415
r1603,1.2415
r1604,1.2415
r1605,1.2415
r1606,1.2415
r1607,1.2415
r1608,1.2415
r1609,1.2415
r1610,1.2415
r1611,1.2415
r1612,1.2415
r1613,1.2415
r1614,1.2415
r1615,1.2415
r1616,1.2415
r1617,1.2415
r1618,1.2415
r1619,1.2415
r1620,1.2415
r1621,1.2415
r1622,1.2415
r1623,1.2415
r1624,1.2415
r1625,1.2415
r1626,1.2415
r1627,1.2415
r1628,1.2415
r1629,1.2415
r1630,1.2415
r1631,1.2415
r1632,1.2415
r1633,1.2415
r1634,1.2415
r1635,1.2415
r1636,1.2415
r1637,1.2415
r1638,1.2415
r1639,1.2415
r1640,1.2415
r1641,1.2415
r1642,1.2415
r1643,1.2415
r1644,1.2415
r1645,1.2415
r1646,1.2415
r1647,1.2415
r1648,1.2415
r1649,1.2415
r1650,1.2415
r1651,1.2415
r1652,1.2415
r1653,1.2415
r1654,1.2415
r1655,1.2415
r1656,1.2415
