Var1,ASP14_i10_plus_midlow
r1683,1.024
r1684,1.024
r1685,1.024
r1686,1.024
r1687,1.024
r1690,1.024
r1691,1.024
r1692,1.024
r1693,1.024
r1695,1.024
r1696,1.024
r1698,1.024
r1700,1.024
r1701,1.024
r1702,1.024
r1705,1.024
r1706,1.024
r1707,1.024
r1708,1.024
r1710,1.024
r1711,1.024
r1713,1.024
r1715,1.024
r1716,1.024
r1717,1.024
r1720,1.024
r1721,1.024
r1722,1.024
r1723,1.024
r1725,1.024
r1726,1.024
r1728,1.024
r1730,1.024
r1731,1.024
r1732,1.024
r1733,1.024
r1734,1.024
r1735,1.024
r1736,1.024
r1737,1.024
r1738,1.024
r1739,1.024
r1740,1.024
r1741,1.024
r1742,1.024
r1743,1.024
r1744,1.024
r1745,1.024
r1746,1.024
r1747,1.024
r1748,1.024
r1749,1.024
r1750,1.024
r1751,1.024
r1752,1.024
r1753,1.024
r1754,1.024
r1755,1.024
r1756,1.024
r1757,1.024
r1758,1.024
r1759,1.024
r1760,1.024
r1761,1.024
r1762,1.024
r1763,1.024
r1764,1.024
r1765,1.024
r1766,1.024
r1767,1.024
r1768,1.024
r1769,1.024
r1770,1.024
r1771,1.024
r1772,1.024
r1773,1.024
r1774,1.024
r1775,1.024
r1776,1.024
r1777,1.024
r1778,1.024
r1779,1.024
r1780,1.024
r1781,1.024
r1782,1.024
r1783,1.024
r1784,1.024
r1785,1.024
r1786,1.024
r1787,1.024
r1788,1.024
r1789,1.024
r1790,1.024
r1791,1.024
r1792,1.024
r1796,1.024
r1797,1.024
r1798,1.024
r1799,1.024
r1800,1.024
r1801,1.024
r1803,1.024
r1805,1.024
r1806,1.024
r1807,1.024
r1808,1.024
r1809,1.024
r1810,1.024
r1811,1.024
r1812,1.024
r1813,1.024
r1814,1.024
r1815,1.024
r1816,1.024
r1817,1.024
r1818,1.024
r1819,1.024
r1820,1.024
r1821,1.024
r1822,1.024
r1823,1.024
r1824,1.024
r1825,1.024
r1826,1.024
r1827,1.024
r1828,1.024
r1829,1.024
r1830,1.024
r1831,1.024
r1832,1.024
r1833,1.024
r1834,1.024
r1835,1.024
r1836,1.024
r1837,1.024
r1841,1.024
r1842,1.024
r1843,1.024
r1844,1.024
r1846,1.024
r1847,1.024
r1848,1.024
r1850,1.024
r1851,1.024
r1852,1.024
r1853,1.024
r1854,1.024
r1855,1.024
r1856,1.024
r1857,1.024
r1858,1.024
r1859,1.024
r1860,1.024
r1861,1.024
r1862,1.024
r1863,1.024
r1864,1.024
r1865,1.024
r1866,1.024
r1867,1.024
r1871,1.024
r1872,1.024
r1873,1.024
r1874,1.024
r1876,1.024
r1877,1.024
r1879,1.024
r1880,1.024
r1881,1.024
r1882,1.024
r1883,1.024
r1884,1.024
r1885,1.024
r1886,1.024
r1887,1.024
r1888,1.024
r1889,1.024
r1890,1.024
r1891,1.024
r1892,1.024
r1893,1.024
r1894,1.024
r1895,1.024
r1896,1.024
r1897,1.024
r1898,1.024
r1899,1.024
r1900,1.024
r1901,1.024
r1902,1.024
r1903,1.024
r1904,1.024
r1905,1.024
r1906,1.024
r1907,1.024
r1908,1.024
r1909,1.024
r1910,1.024
r1911,1.024
r1912,1.024
r1913,1.024
r1914,1.024
r1915,1.024
r1916,1.024
r1917,1.024
r1918,1.024
r1919,1.024
r1920,1.024
r1921,1.024
r1922,1.024
r1923,1.024
r1924,1.024
r1925,1.024
r1926,1.024
r1928,1.024
r1929,1.024
r1930,1.024
r1931,1.024
r1932,1.024
r1933,1.024
r1934,1.024
r1935,1.024
r1936,1.024
r1937,1.024
r1938,1.024
